country,wkt
Abyei,"POLYGON ((28.0421265940000310 9.3436917720000761, 27.8141741260001893 9.8006374490000727, 27.8150604920001676 10.1433906270001462, 28.9752857680000844 10.1176925780001934, 28.9770085430000890 9.6411608920002010, 28.7685852050001145 9.3484182360001142, 28.0421265940000310 9.3436917720000761))"
Afghanistan,"POLYGON ((74.9157400000000848 37.2373300000000427, 74.7397100000000592 37.3014000000000578, 74.5278300000000513 37.2408000000000357, 74.3908900000000699 37.1700000000000728, 74.5548400000000697 36.9650600000000509, 74.4169300000000362 37.0000400000000695, 74.0621900000000437 36.8213500000000522, 73.6683100000000763 36.9096400000000813, 72.5786000000000513 36.8254300000000399, 72.1741400000000795 36.7090900000000602, 71.7450100000000361 36.4161200000000349, 71.6198700000000485 36.4527100000000814, 71.5811300000000301 36.3464400000000865, 71.1897100000000478 36.0521100000000843, 71.4427500000000464 35.8669300000000817, 71.6483200000000693 35.4281800000000544, 71.5480400000000714 35.3178400000000465, 71.6127600000000371 35.2308200000000511, 71.4938000000000784 34.9577000000000453, 70.9822800000000598 34.5379100000000676, 71.1549100000000294 34.3556200000000445, 71.0811700000000428 34.0561700000000656, 70.5583200000000375 33.9444300000000680, 69.9009600000000546 34.0291600000000471, 69.9166600000000358 33.8522200000000453, 69.9870600000000422 33.7534000000000560, 70.1333800000000451 33.7338800000000560, 70.1697000000000344 33.5198600000000511, 70.3247800000000325 33.3327000000000453, 70.0288700000000404 33.1358300000000554, 69.5070800000000304 33.0361100000000647, 69.5127000000000521 32.8722200000000839, 69.3954100000000835 32.7668700000000399, 69.4561000000000490 32.6742300000000796, 69.2479000000000724 32.4411000000000627, 69.3282500000000823 31.9403600000000552, 69.0190900000000624 31.6510400000000800, 68.8277700000000436 31.6058300000000827, 68.5761000000000536 31.8234700000000430, 68.4463000000000648 31.7801700000000551, 68.5345700000000306 31.7268000000000825, 68.1636300000000688 31.8293400000000588, 67.9687400000000821 31.6338800000000901, 67.5813800000000811 31.5292700000000536, 67.6141500000000519 31.4300000000000637, 67.7905500000000529 31.3434100000000626, 67.3847200000000726 31.2152700000000891, 67.0627700000000573 31.2411100000000488, 66.9655500000000643 31.3200000000000500, 66.7215800000000741 31.2073500000000763, 66.5790200000000709 30.9866600000000858, 66.4002600000000598 30.9434700000000475, 66.2406700000000797 30.0653400000000488, 66.3620600000000422 29.9597900000000550, 66.2566500000000360 29.8519400000000701, 65.0341500000000678 29.5411100000000602, 64.3797000000000708 29.5536100000000488, 64.0591400000000704 29.4144400000000701, 63.5872100000000842 29.5038900000000694, 62.4844400000000633 29.4061100000000692, 60.8663000000000807 29.8636600000000385, 61.7583300000000577 30.7902800000000525, 61.8501300000000356 31.0238800000000765, 61.7136100000000738 31.3833300000000577, 60.8488100000000713 31.4961100000000442, 60.8583300000000804 32.2259600000000432, 60.5825000000000387 33.0661000000000627, 60.5832600000000525 33.1495800000000713, 60.9388800000000401 33.5170400000000654, 60.5308200000000625 33.6399900000000684, 60.5044400000000451 34.1222100000000523, 60.6751300000000811 34.3140200000000846, 60.8788700000000631 34.3197200000000748, 60.7238800000000651 34.5279100000000767, 60.9766500000000633 34.6507600000000480, 61.0511000000000763 34.7894400000000701, 61.1058300000000827 35.2818000000000893, 61.2963800000000560 35.6285300000000689, 61.5958300000000349 35.4441500000000360, 62.0427000000000817 35.4412400000000503, 62.3121200000000499 35.1459900000000403, 62.4695400000000518 35.2875600000000418, 62.7270700000000829 35.2576300000000629, 63.1073500000000536 35.4569400000000883, 63.1053400000000693 35.6337400000000457, 63.1847200000000839 35.6736100000000533, 63.1231000000000790 35.8627900000000750, 63.5227700000000368 35.9029100000000767, 64.4663800000000720 36.2513800000000401, 64.6152600000000348 36.4236100000000533, 64.6169300000000817 36.6363800000000879, 64.7929000000000315 36.9194300000000339, 64.7937300000000391 37.1215200000000891, 65.0667900000000827 37.2429100000000517, 65.5630400000000577 37.2613100000000372, 65.6975500000000352 37.5325600000000463, 66.2874800000000732 37.3265200000000732, 67.0129100000000335 37.3797100000000455, 67.2461000000000695 37.1849900000000844, 67.5263800000000742 37.2686000000000490, 67.7258100000000809 37.2288700000000858, 68.0013900000000717 36.9361000000000672, 68.8911100000000829 37.3384600000000546, 69.2866500000000656 37.1041600000000358, 69.4212500000000432 37.1964100000000712, 69.3815100000000484 37.4534600000000637, 69.5222100000000296 37.5823500000000763, 69.9119300000000408 37.6131900000000883, 70.1558200000000625 37.5362300000000459, 70.2860900000000584 37.6997000000000639, 70.1625400000000354 37.9289500000000430, 70.3419400000000792 38.0186700000000428, 70.7113800000000765 38.4098700000000690, 70.9601300000000492 38.4719800000000873, 71.3619300000000294 38.2479400000000851, 71.2521400000000540 37.9279400000000351, 71.5848500000000740 37.9117400000000657, 71.4308100000000650 37.0669400000000451, 71.5529100000000540 36.7635800000000472, 71.6772000000000844 36.6760100000000762, 71.8427600000000552 36.6921000000000390, 72.3063500000000658 36.9781000000000404, 72.6624600000000669 37.0253500000000599, 72.7997700000000805 37.2292200000000548, 73.2992900000000418 37.4603900000000749, 73.7763200000000552 37.4328600000000620, 73.7698500000000763 37.3434900000000880, 73.6206000000000813 37.2635200000000850, 73.7385800000000700 37.2216500000000678, 74.2541500000000383 37.4094000000000619, 74.6695700000000784 37.3921200000000340, 74.9157400000000848 37.2373300000000427))"
Aksai Chin,"POLYGON ((78.9484500000000367 33.3789500000000885, 78.7398700000000531 33.5453300000000354, 78.6833700000000817 33.6652400000000398, 78.7727300000000810 33.7329400000000419, 78.7427000000000703 34.0083300000000577, 78.6395200000000614 34.0249800000000846, 78.9787300000000414 34.1974600000000351, 78.9853500000000395 34.3500100000000543, 78.6536000000000399 34.5462500000000432, 78.3370800000000713 34.6118000000000734, 78.0230500000000688 35.2806900000000496, 78.0855300000000625 35.4737900000000650, 77.8888300000000413 35.4415600000000381, 78.6253100000000700 35.9165400000000545, 79.3683500000000777 35.9768000000000825, 79.5214600000000473 35.8083200000000375, 79.6577500000000782 35.7741600000000517, 79.7803400000000806 35.5783600000000888, 79.9507100000000719 35.5839600000000473, 80.0300600000000486 35.4295900000000756, 80.1488500000000386 35.4268500000000586, 80.2403700000000413 35.5550200000000700, 80.3656800000000544 35.4557900000000359, 80.0778900000000817 34.6874800000000505, 79.7261500000000751 34.5244300000000521, 79.7399700000000848 34.4151400000000649, 79.5288700000000404 34.4564100000000622, 79.5240400000000704 34.2004600000000778, 79.3796800000000644 34.0249800000000846, 78.9244400000000610 34.0221100000000547, 78.8909800000000700 33.9544300000000590, 79.0874100000000340 33.6236600000000863, 78.8929300000000353 33.5966900000000805, 78.9484500000000367 33.3789500000000885))"
Albania,"POLYGON ((20.0714200000000460 42.5609100000000353, 20.2495100000000434 42.3270800000000804, 20.5251400000000785 42.2130500000000666, 20.6217300000000705 41.9565200000000686, 20.4588200000000597 41.5208300000000463, 20.5618700000000558 41.4086800000000608, 20.5191700000000878 41.2463900000000763, 20.7408100000000672 40.9095400000000495, 20.9805400000000759 40.8972100000000864, 21.0514600000000769 40.6744400000000610, 20.9495800000000827 40.4696500000000583, 20.7919200000000615 40.4315400000000409, 20.6670800000000554 40.0962500000000546, 20.3154100000000426 39.9918000000000688, 20.4133300000000872 39.8201300000000629, 20.2944400000000655 39.8075000000000614, 20.3180900000000406 39.7340900000000374, 20.1962500000000773 39.6450000000000387, 19.9854200000000901 39.6947500000000559, 19.9877800000000434 39.8672200000000885, 19.8572900000000914 40.0434700000000703, 19.4513900000000604 40.2267300000000887, 19.2897900000000391 40.4214500000000498, 19.4794400000000678 40.3548600000000874, 19.4536100000000829 40.5638900000000717, 19.3072100000000546 40.6453100000000518, 19.4133300000000872 40.8663800000000492, 19.5216600000000540 40.9098500000000627, 19.4362100000000737 41.0210600000000341, 19.5137500000000728 41.2540200000000823, 19.4425000000000523 41.4069400000000769, 19.5847200000000612 41.6058300000000827, 19.5991600000000403 41.7797200000000544, 19.3677700000000641 41.8490000000000464, 19.3991000000000895 42.1040900000000420, 19.2885400000000686 42.1829100000000494, 19.7178400000000806 42.6603400000000761, 19.8225000000000477 42.4719400000000746, 20.0714200000000460 42.5609100000000353))"
Algeria,"POLYGON ((8.6220300000000520 36.9413700000000631, 8.6380500000000779 36.8311100000000806, 8.1816700000000537 36.5052700000000527, 8.3763900000000717 36.4201400000000604, 8.2605600000000550 35.8563800000000583, 8.3448600000000397 35.6441600000000562, 8.3083300000000690 35.3391600000000494, 8.4011100000000738 35.1922200000000771, 8.2861100000000647 34.9655500000000643, 8.2527100000000928 34.6552100000000678, 7.8688900000000785 34.4361000000000672, 7.7837500000000546 34.2506200000000831, 7.5288900000000467 34.1043100000000550, 7.4925000000000637 33.8875000000000455, 7.7250300000000607 33.4194000000000528, 7.7430600000000709 33.2291600000000358, 8.1577800000000593 33.0280500000000643, 8.3061100000000465 32.8341600000000540, 8.3486100000000647 32.5333300000000349, 9.0572200000000862 32.0955500000000598, 9.5371100000000411 30.2343900000000758, 9.3113900000000740 30.1272200000000794, 9.6611100000000647 29.6491700000000833, 9.8397200000000566 29.1600000000000819, 9.8716700000000515 28.8061100000000465, 9.7902800000000525 28.2705500000000711, 9.9558300000000486 27.8462500000000546, 9.7344400000000633 27.3160400000000436, 9.8483300000000895 26.9086100000000670, 9.9305600000000709 26.8597200000000385, 9.9169400000000678 26.6733300000000781, 9.8716700000000515 26.5141600000000608, 9.4994400000000496 26.3575000000000728, 9.3983300000000440 26.1533300000000395, 10.0320800000000645 25.3294400000000905, 10.0544400000000564 24.8380500000000666, 10.2183300000000372 24.7511100000000397, 10.2522200000000794 24.6058300000000827, 10.4145800000000577 24.4833300000000804, 10.7152800000000639 24.5672200000000771, 11.5588900000000763 24.3025000000000659, 11.9864700000000539 23.5223000000000866, 7.4637700000000677 20.8566700000000651, 5.8125000000000568 19.4461100000000897, 3.3319400000000883 18.9763900000000376, 3.1170100000000502 19.1455500000000711, 3.2780600000000391 19.4058300000000372, 3.2330600000000800 19.8171500000000833, 2.9022200000000566 19.9669400000000792, 2.4216700000000628 20.0530500000000416, 2.2036100000000829 20.2830500000000598, 2.0908300000000395 20.2187500000000568, 1.7897200000000453 20.3129100000000449, 1.6275000000000546 20.5711100000000897, 1.1763900000000831 20.7337500000000432, 1.1708000000000425 21.1008500000000367, -4.5252799999999525 24.8250000000000455, -8.6667899999999349 27.2904600000000528, -8.6672199999999293 28.7094400000000860, -7.6423599999999396 29.3861100000000874, -7.4363899999999603 29.3961100000000783, -7.1262499999999136 29.6358300000000554, -6.5833999999999264 29.5683300000000600, -6.4002799999999525 29.8044400000000564, -5.5306899999999359 29.9059700000000817, -5.2758299999999281 30.0552800000000389, -4.9151399999999512 30.5098600000000602, -4.3995799999999576 30.6472200000000612, -4.0080599999999436 30.9133300000000872, -3.6222199999999134 30.9736100000000647, -3.6001399999999535 31.0908300000000395, -3.8238899999999489 31.1616000000000781, -3.8134699999999384 31.6980500000000802, -3.5170799999999076 31.6732600000000843, -2.9994399999999359 31.8333300000000463, -2.8594399999999496 32.0865200000000641, -2.3381899999999405 32.1572200000000521, -1.1805599999999572 32.1122200000000362, -1.2918799999999351 32.1722900000000891, -1.2504199999999059 32.3234700000000430, -1.0118099999999117 32.5055500000000848, -1.3827799999999115 32.7244400000000724, -1.5424999999999613 32.9394400000000473, -1.4902099999999336 33.0734700000000430, -1.6666699999999537 33.2588800000000901, -1.6006899999999291 33.5597200000000839, -1.7282699999999522 33.7045000000000528, -1.6544399999999087 34.0836100000000783, -1.7933299999999122 34.3783300000000622, -1.6925799999999072 34.4890800000000581, -1.8549699999999234 34.6143700000000649, -1.7575999999999112 34.7546500000000833, -2.2094399999999155 35.0858300000000440, -1.7805599999999231 35.1172200000000885, -1.3693099999999276 35.3129100000000449, -1.1688899999999194 35.5775000000000432, -0.7916699999999537 35.7650000000000432, -0.6180599999999572 35.7183300000000372, -0.3731299999999464 35.9027700000000891, -0.2444399999999405 35.8108300000000668, -0.0522199999999202 35.8061100000000465, 0.2041700000000901 36.1033300000000850, 1.1825000000000614 36.5122200000000703, 2.3391700000000810 36.6352800000000798, 2.5725000000000477 36.5891600000000494, 2.9002100000000723 36.7947900000000345, 3.4791700000000674 36.7680500000000734, 3.9016700000000810 36.9147200000000453, 4.7887500000000500 36.8938900000000558, 5.3280600000000504 36.6402700000000436, 5.7045800000000781 36.8219400000000405, 6.2333300000000804 36.9136000000000877, 6.3983300000000440 37.0863900000000513, 6.9204200000000924 36.8843000000000529, 7.1705600000000800 36.9200000000000728, 7.2504200000000765 36.9844400000000633, 7.2297200000000430 37.0863900000000513, 7.7613900000000626 36.9659700000000839, 7.7730500000000688 36.8797200000000771, 7.8766700000000469 36.8474900000000503, 8.2256200000000490 36.9527700000000436, 8.6220300000000520 36.9413700000000631))"
American Samoa,"POLYGON ((-170.6372599999999125 -14.2894399999999564, -170.7438899999999080 -14.3755599999999504, -170.8232299999999100 -14.3237499999999045, -170.5618699999999137 -14.2699999999999250, -170.6372599999999125 -14.2894399999999564))"
Andorra,"POLYGON ((1.7236100000000647 42.5094400000000405, 1.5122200000000703 42.4363800000000424, 1.4213900000000876 42.5458300000000804, 1.5597200000000839 42.6559700000000817, 1.7386100000000511 42.6163800000000492, 1.7236100000000647 42.5094400000000405))"
Angola,"MULTIPOLYGON (((23.9862100000000851 -10.8704599999999232, 24.0844400000000860 -11.4027799999999502, 23.9673600000000420 -11.6621499999999401, 24.0506900000000883 -12.3924299999999334, 23.8870100000000889 -12.7636099999999146, 24.0194400000000883 -12.9994499999999107, 22.0015200000000846 -13.0045899999999506, 22.0001500000000760 -16.1716599999999175, 22.1883300000000645 -16.5411099999999465, 23.2016600000000608 -17.4797199999999293, 23.4761100000000624 -17.6258399999999256, 21.3793600000000765 -18.0148899999999230, 21.1658700000000408 -17.9314699999999334, 20.8541600000000358 -18.0163899999999444, 20.5536800000000426 -17.9830599999999095, 20.3213200000000711 -17.8572199999999270, 18.9194400000000655 -17.8163899999999558, 18.6419400000000905 -17.6480599999999299, 18.4515400000000795 -17.3898399999999356, 13.9932200000000648 -17.4239499999999339, 13.4720800000000622 -17.0108299999999417, 13.1491700000000833 -16.9541699999999196, 12.5572200000000862 -17.2433299999999576, 12.0877800000000661 -17.1365299999999365, 11.7527800000000866 -17.2548299999999131, 11.8208300000000577 -16.5030599999999481, 11.8102800000000911 -16.0002799999999183, 11.7312500000000455 -15.8506899999999291, 12.0150000000000432 -15.5694399999999291, 12.0575000000000614 -15.2183299999999235, 12.2736100000000761 -14.7523599999999533, 12.3322200000000635 -14.1049999999999045, 12.5045800000000895 -13.8444499999999380, 12.5127100000000837 -13.4243799999999283, 12.9383300000000645 -12.9941699999999400, 12.9700000000000841 -12.7844399999999041, 13.1980500000000802 -12.6095799999999372, 13.3758300000000645 -12.5899999999999181, 13.6625000000000796 -12.1697199999999270, 13.7920800000000554 -11.7947199999999270, 13.8536100000000602 -11.0029199999999605, 13.7245100000000662 -10.7654899999999429, 13.7683300000000486 -10.6728499999999258, 13.5388900000000376 -10.4237499999999272, 13.3160400000000436 -9.9631899999999405, 13.1700000000000728 -9.4086099999999533, 12.9845800000000509 -9.0812499999999545, 13.0287100000000464 -8.9616399999999317, 13.0762800000000539 -8.9173499999999422, 13.1313200000000734 -8.8816699999999287, 13.0136100000000852 -9.0869499999999448, 13.2277100000000587 -8.8045099999999366, 13.3875000000000455 -8.7402799999999274, 13.3918000000000461 -8.3937499999999545, 12.8691700000000537 -7.2686099999999101, 12.8177800000000843 -6.9502799999999070, 12.5488900000000854 -6.6549999999999159, 12.2800000000000864 -6.0633299999999508, 12.7950000000000728 -6.0165299999999320, 12.9798600000000874 -5.8844399999999268, 13.1788800000000492 -5.8563299999999572, 16.5141600000000608 -5.8758299999999508, 16.7252200000000357 -6.1974399999999150, 16.6884700000000521 -6.4049999999999159, 16.9300000000000637 -6.8922199999999521, 16.9431200000000786 -7.1990299999999365, 17.5255600000000413 -8.0536099999999351, 17.6311100000000920 -8.0980599999999185, 17.8897200000000680 -8.0423599999999169, 18.1154200000000856 -8.1071099999999205, 18.1125700000000620 -8.0286199999999326, 18.5255500000000666 -7.9890299999999570, 18.5269400000000815 -7.9370799999999235, 19.3727800000000911 -7.9933299999999576, 19.3750100000000884 -7.5792499999999450, 19.5306200000000558 -7.4774999999999068, 19.5389500000000567 -6.9966099999999187, 20.3113900000000740 -6.9947199999999157, 20.3315300000000434 -6.9147199999999316, 20.6297500000000582 -6.9138799999999492, 20.5487200000000598 -7.2836199999999280, 21.7778600000000893 -7.2812499999999432, 21.8597200000000385 -7.4769499999999312, 21.7550700000000461 -8.0037499999999113, 21.9400000000000546 -8.4961099999999306, 21.7915300000000798 -9.4113899999999262, 21.8747200000000817 -9.6649999999999068, 22.1583300000000349 -9.9243099999999345, 22.3138200000000779 -10.3749999999999432, 22.3151400000000422 -10.7274999999999068, 22.1664600000000860 -10.8599299999999062, 22.2538900000000694 -11.2097199999999475, 22.5675000000000523 -11.0336099999999533, 23.0880500000000666 -11.0963899999999285, 23.4763900000000376 -10.9583399999999074, 23.8586100000000556 -11.0271599999999239, 23.9862100000000851 -10.8704599999999232)), ((12.2145500000000879 -5.7685599999999226, 12.1527800000000639 -5.6145799999999326, 12.2286100000000602 -5.4769499999999312, 12.0261300000000801 -5.0149999999999295, 12.2150700000000825 -4.7599299999999403, 12.3314600000000496 -4.7870799999999463, 12.4008300000000418 -4.6094499999999243, 12.6443000000000438 -4.5571499999999219, 12.7652800000000752 -4.3938899999999421, 12.8697200000000862 -4.3995799999999576, 13.0926400000000740 -4.6461099999999078, 12.8205500000000825 -4.7374999999999545, 12.5722200000000726 -5.0218099999999595, 12.5266700000000810 -5.7241699999999582, 12.2145500000000879 -5.7685599999999226)))"
Anguilla,"POLYGON ((-63.1537499999999454 18.1652800000000525, -63.0520199999999136 18.2595800000000850, -62.9727099999999496 18.2729800000000751, -62.9930599999999004 18.2272200000000453, -63.1537499999999454 18.1652800000000525))"
Antigua & Barbuda,"MULTIPOLYGON (((-61.6845899999999006 17.0259700000000862, -61.8291699999999196 16.9969400000000519, -61.8911099999999124 17.0941700000000765, -61.7944499999999266 17.1633300000000872, -61.6845899999999006 17.0259700000000862)), ((-61.7291699999999537 17.6086100000000556, -61.7388899999999126 17.5405500000000529, -61.8530599999999140 17.5830500000000711, -61.8730599999999527 17.7038900000000581, -61.7291699999999537 17.6086100000000556)))"
